,Forecast,Lower,Upper
2021-08-01,241.19256787422376,214.61505771377307,267.77007803467444
2021-09-01,246.47513208633814,208.88885676332006,284.0614074093562
2021-10-01,251.75769629845252,205.72409836187387,297.79129423503116
2021-11-01,257.0402605105669,203.88524018966555,310.19528083146827
2021-12-01,262.3228247226813,202.89370533122224,321.7519441141403
2022-01-01,267.60538893479566,202.50405040805606,332.70672746153525
2022-02-01,272.88795314691004,202.5704707950652,343.20543549875487
2022-03-01,278.1705173590244,202.99796671298827,353.34306800506056
2022-04-01,283.4530815711388,203.7205510897868,363.1856120524908
2022-05-01,288.7356457832532,204.6901791399619,372.78111242654444
2022-06-01,294.01820999536756,205.87058093129434,382.16583905944077
2022-07-01,299.30077420748194,207.23357833432468,391.3679700806392
2022-08-01,304.5833384195963,208.75676276192627,400.40991407726636
2022-09-01,309.8659026317107,210.42196541780095,409.30983984562044
2022-10-01,315.1484668438251,212.2142126087412,418.08272107890895
2022-11-01,320.43103105593946,214.12099041413677,426.74107169774214
2022-12-01,325.71359526805384,216.13171361058914,435.2954769255185
2023-01-01,330.9961594801682,218.237333511114,443.75498544922243
2023-02-01,336.2787236922826,220.43004273195265,452.12740465261254
2023-03-01,341.561287904397,222.7030491214789,460.41952668731506
2023-04-01,346.84385211651136,225.0504000227882,468.6373042102345
2023-05-01,352.12641632862574,227.4668438151806,476.7859888420709
2023-06-01,357.4089805407401,229.94771950208667,484.87024157939356
2023-07-01,362.6915447528545,232.48886769937528,492.8942218063337
2023-08-01,367.9741089649689,235.0865581627155,500.86165976722225
2023-09-01,373.25667317708326,237.7374302462348,508.7759161079317
2023-10-01,378.53923738919764,240.43844357946176,516.6400311989335
2023-11-01,383.821801601312,243.18683689762236,524.4567663050017
2023-12-01,389.1043658134264,245.98009343610775,532.2286381907451
2024-01-01,394.3869300255408,248.815911653525,539.9579483975565
2024-02-01,399.66949423765516,251.69218031354515,547.6468081617652
2024-03-01,404.95205844976954,254.60695715769728,555.2971597418418
2024-04-01,410.2346226618839,257.5584505561741,562.9107947675938
2024-05-01,415.5171868739983,260.5450036436483,570.4893701043484
2024-06-01,420.7997510861127,263.5650805407459,578.0344216314795
2024-07-01,426.08231529822706,266.61725433552306,585.5473762609311
